delivery_date,mtu,q0.025,q0.250,q0.500,q0.750,q0.975,y_true
2026-09-18,74,140.41918955930404,166.75141365599652,174.12427373736713,181.410921003838,204.24000303450592,172.5
2026-09-18,75,173.08695063537618,192.6580420155609,198.13786007791427,204.7010411343924,231.3550606401688,191.15
2026-09-18,76,194.50698092966925,208.8750536698168,213.64704861015,220.7045103230318,248.2851046028724,207.29
2026-09-18,77,186.51855748230489,202.98539081450065,207.7127856991341,214.09392146235348,242.13110283226945,189.3
2026-09-18,78,181.39793945791067,199.60491099166515,205.1431474952336,212.2324840437979,238.7043469206132,186.45
2026-09-18,79,181.6190473657956,202.51789915814624,208.47186427655737,215.53509916734893,242.0799654530377,189.82
2026-09-18,80,195.3667707579419,217.8692239831452,223.89759737772195,230.87901973798728,258.6913061708694,205.31
2026-09-18,81,177.05922493900653,201.7987569242964,208.55923798068667,215.83174843639893,241.67962571263027,200.57
2026-09-18,82,180.61631718270937,202.179216396324,208.206604323196,215.2058553229495,241.775811672064,198.19
2026-09-18,83,179.7693890296615,199.2314115612495,205.082319390557,212.3104337929483,238.42852128996088,191.41
2026-09-18,84,163.1377548657205,186.50014859172265,193.44357391110904,201.12040923967632,225.16231308466087,189.78
2026-09-18,85,177.03519433965414,196.2298751732259,202.1789600747277,209.57737553510884,235.1927258298896,189.0
2026-09-18,86,163.78603872917844,184.3446649733421,190.4178063288493,197.4902716990657,222.5569146576996,184.75
2026-09-18,87,154.4399448939665,177.46683609475744,184.1196937011624,191.32808699388883,215.4186253828395,174.98
2026-09-18,88,140.8861311965678,164.24370679367084,170.9991632087499,178.09190796909687,201.26145493274265,164.99
2026-09-18,89,162.5590499639525,180.7849934214433,186.18687121421607,192.8097463907245,218.4974646390743,172.86
2026-09-18,90,144.81869287785477,166.97146016326357,173.3248182219235,180.16711228135136,204.06141440923707,169.16
2026-09-18,91,137.71873558980744,161.42774745304254,168.17899035501537,175.13790688861417,198.26746051143337,164.99
2026-09-18,92,130.65177330259024,153.1967258627217,159.9879048672972,167.18489994009263,189.34207136360092,145.72
2026-09-18,93,134.4772993191736,156.89975672926835,163.33759042037428,170.0966243504605,193.28019183564348,157.35
2026-09-18,94,126.3259355041778,149.00249129706216,155.68254559047634,162.6246231776483,184.8430906216839,139.85
2026-09-18,95,122.64843204042856,145.45260069611868,152.1387371057866,159.00838356894496,181.04400826998148,130.39
2026-09-18,96,115.06151426510664,137.58053555523145,143.9854065822602,150.40371380337908,172.55139560187914,111.0
2026-09-19,1,95.345495372269,118.58407689022636,125.63270696190584,132.1386839190183,153.31090850484915,132.52
2026-09-19,2,84.17287895303625,107.5887565947395,114.77144337726706,121.25350078656226,141.6433883175245,117.76
2026-09-19,3,70.86189915431837,95.76246121873687,103.50635822096808,110.17998829986423,129.5681571585045,97.43
2026-09-19,4,55.72223496286232,82.93248532588848,90.73912055234858,96.63127222851874,115.46350110289528,65.83
2026-09-19,5,72.06955299064524,97.14188015342508,104.57121704565874,110.76355167670911,130.51417768717582,96.05
2026-09-19,6,62.71521621497106,87.43780659036565,94.88221112417902,101.05435745826996,120.12927779066202,82.44
2026-09-19,7,53.14891806421476,77.13736592286898,85.39946060221077,92.8072334603652,110.47462980518422,79.18
2026-09-19,8,43.1293096166708,69.33193877962476,78.21816788083599,85.75298751056113,102.72166896196808,60.43
2026-09-19,9,53.542556815052045,78.45789847327993,86.80770481699987,94.088104112781,111.8935111780684,73.77
2026-09-19,10,39.75177877992521,66.3288352921158,74.34718541889161,80.48180097226495,98.0044223596366,62.38
2026-09-19,11,36.91249096505703,62.53766115581284,70.73117208725681,77.34080327200225,94.35465080880148,52.75
2026-09-19,12,30.61838823496266,56.77267476937783,64.96252636857473,71.32510105478323,88.04642429129785,48.02
2026-09-19,13,39.42509587761753,64.97940374762,73.10490797758224,79.67426470113283,96.8882266944177,45.15
2026-09-19,14,31.74322565636076,57.50311738855632,65.87603797334957,72.62828718622211,89.19663427198806,32.75
2026-09-19,15,28.970941871220383,54.16171499244325,62.5668299835799,69.4829878135827,85.73689208802924,26.48
